EmployeeName,Department,Role,Day,Shift
Mia Nguyen,Oncology,Nurse,"(1, 2, 4, 6, 14)","(110, 110, 001, 011, 001)"
John Johnson,Emergency,Admin,"(6, 8, 9, 11, 14)","(011, 100, 101, 001, 100)"
William Nguyen,Pediatrics,Doctor,"(1, 2, 6, 9, 12)","(011, 100, 100, 010, 100)"
Harper Anderson,Orthopedics,Admin,"(2, 5, 6, 11, 13)","(101, 100, 101, 011, 001)"
Lucas Ramirez,Neurology,Nurse,"(3, 5, 7, 13)","(100, 110, 001, 110)"
Alexander Gonzalez,Psychiatry,Admin,"(4, 5, 9)","(110, 110, 110)"
Barbara Smith,Gynecology,Admin,"(2, 7, 8, 9)","(011, 011, 011, 001)"
Robert Davis,Gynecology,Admin,"(9, 10, 13)","(101, 101, 101)"
Alexander White,Intensive Care Unit,Admin,"(1, 6, 12, 14)","(100, 001, 011, 010)"
Michael Wilson,Gynecology,Admin,"(3, 7, 10, 13, 14)","(011, 110, 011, 100, 011)"
William Thomas,Emergency,Nurse,"(2, 4, 9, 10)","(001, 011, 010, 110)"
Barbara Ramirez,Psychiatry,Nurse,"(5, 6, 8, 9)","(010, 101, 101, 101)"
Linda Johnson,Emergency,Nurse,"(8, 13, 14)","(011, 101, 001)"
William Gonzalez,Orthopedics,Doctor,"(1, 8, 12)","(110, 110, 011)"
Oliver Wright,Psychiatry,Nurse,"(8, 9, 13)","(010, 100, 100)"
Joseph Nguyen,Oncology,Admin,"(3, 8, 13)","(001, 101, 101)"
Harper Rodriguez,Pediatrics,Admin,"(2, 8, 9, 10)","(110, 001, 110, 100)"
Emma Sanchez,Psychiatry,Admin,"(2, 3, 5, 12, 13)","(101, 110, 100, 010, 101)"
Oliver Taylor,Psychiatry,Admin,"(1, 5, 10, 12)","(100, 001, 011, 001)"
William Nguyen,Intensive Care Unit,Admin,"(4, 10, 14)","(010, 101, 011)"
Charlotte Thomas,Psychiatry,Doctor,"(3, 4, 11, 13, 14)","(011, 011, 110, 011, 011)"
Michael Johnson,Cardiology,Doctor,"(8, 9, 13, 14)","(011, 010, 010, 001)"
Patricia Hill,Orthopedics,Nurse,"(1, 7, 11, 13, 14)","(110, 010, 010, 100, 110)"
Charles Lopez,Radiology,Nurse,"(2, 4, 7, 8, 11)","(110, 001, 100, 010, 011)"
Michael Allen,Emergency,Admin,"(2, 5, 6, 12, 13)","(100, 010, 110, 011, 100)"
Barbara Anderson,Oncology,Admin,"(3, 6, 7)","(011, 101, 100)"
Sophia Allen,Gynecology,Nurse,"(3, 9, 13, 14)","(101, 001, 001, 011)"
James Sanchez,Emergency,Doctor,"(2, 6, 11, 12)","(101, 110, 100, 011)"
Charlotte Moore,Oncology,Doctor,"(2, 3, 5, 7, 13)","(010, 110, 001, 101, 110)"
Emma Hernandez,Emergency,Admin,"(2, 8, 11)","(101, 110, 001)"
Amelia Perez,Oncology,Doctor,"(3, 4, 8)","(100, 100, 011)"
Joseph Lopez,Cardiology,Nurse,"(2, 3, 10, 13)","(001, 001, 101, 001)"
Margaret Sanchez,Oncology,Doctor,"(1, 2, 6, 8)","(011, 001, 101, 010)"
Barbara Jones,Intensive Care Unit,Nurse,"(2, 3, 6)","(001, 011, 101)"
Charles Gonzalez,Emergency,Admin,"(4, 10, 14)","(010, 001, 100)"
Noah Johnson,Gynecology,Doctor,"(2, 4, 9)","(001, 011, 001)"
Noah Clark,Neurology,Nurse,"(2, 6, 10)","(110, 101, 011)"
Barbara Davis,Gynecology,Admin,"(5, 8, 9, 10, 12)","(100, 110, 110, 100, 101)"
Noah Anderson,Pediatrics,Nurse,"(2, 8, 11, 13)","(001, 001, 101, 001)"
Sophia Moore,Cardiology,Doctor,"(6, 8, 13, 14)","(110, 100, 101, 001)"
Noah Nguyen,Cardiology,Admin,"(1, 9, 12)","(010, 101, 011)"
Ava Lewis,Psychiatry,Nurse,"(2, 4, 5, 7, 11)","(110, 001, 010, 110, 110)"
James Sanchez,Cardiology,Admin,"(4, 10, 11, 13)","(110, 100, 110, 101)"
Isabella Allen,Emergency,Doctor,"(3, 9, 10)","(101, 101, 101)"
Mary Jones,Pediatrics,Admin,"(5, 10, 11, 12)","(011, 101, 101, 001)"
Noah Taylor,Oncology,Admin,"(2, 7, 8, 14)","(110, 001, 101, 010)"
John Anderson,Neurology,Nurse,"(1, 3, 7, 8, 10)","(010, 101, 110, 100, 110)"
Elizabeth Johnson,Radiology,Admin,"(2, 3, 7, 10)","(011, 110, 011, 110)"
Noah Johnson,Oncology,Nurse,"(8, 9, 10, 14)","(001, 010, 110, 101)"
William Johnson,Psychiatry,Admin,"(4, 7, 10)","(011, 100, 011)"
Noah Jackson,Neurology,Admin,"(4, 12, 13)","(101, 001, 001)"
Barbara Allen,Emergency,Admin,"(5, 8, 9)","(010, 101, 011)"
Emma Jones,Gynecology,Nurse,"(4, 5, 6, 12, 14)","(010, 001, 100, 110, 001)"
James Harris,Oncology,Admin,"(4, 9, 12, 13)","(010, 011, 110, 011)"
Elijah Williams,Gynecology,Nurse,"(3, 6, 10, 11, 12)","(100, 011, 110, 011, 110)"
Lisa Williams,Neurology,Nurse,"(5, 9, 10, 12)","(100, 001, 101, 010)"
Lisa Jones,Radiology,Nurse,"(1, 5, 6)","(100, 101, 001)"
Ava King,Oncology,Nurse,"(2, 7, 9, 10)","(110, 001, 001, 011)"
Elizabeth Flores,Emergency,Doctor,"(4, 6, 7, 9)","(101, 001, 011, 101)"
Elijah Martin,Cardiology,Doctor,"(2, 4, 5)","(100, 001, 100)"
Emma Martinez,Intensive Care Unit,Nurse,"(4, 6, 8, 12)","(101, 100, 100, 101)"
Lucas Wright,Oncology,Nurse,"(2, 6, 9, 10, 13)","(011, 101, 101, 010, 100)"
Charles Hill,Neurology,Doctor,"(3, 6, 11, 12)","(001, 100, 010, 100)"
John Smith,Cardiology,Doctor,"(1, 4, 7, 11)","(011, 101, 101, 001)"
Mary Martinez,Emergency,Doctor,"(1, 3, 11)","(110, 010, 010)"
Mary Robinson,Neurology,Admin,"(4, 7, 12)","(001, 110, 001)"
John Robinson,Orthopedics,Admin,"(3, 12, 14)","(011, 010, 110)"
Sophia King,Psychiatry,Doctor,"(6, 7, 10, 13, 14)","(010, 110, 101, 100, 101)"
Alexander Martin,Neurology,Doctor,"(3, 4, 6)","(010, 110, 101)"
William Perez,Psychiatry,Admin,"(1, 3, 4, 6, 12)","(100, 001, 110, 001, 011)"
Mary Thomas,Cardiology,Nurse,"(5, 6, 8, 11)","(101, 011, 100, 100)"
Charlotte Moore,Orthopedics,Admin,"(3, 5, 6, 9, 13)","(011, 001, 011, 100, 100)"
Olivia Young,Gynecology,Doctor,"(7, 8, 11)","(001, 110, 001)"
Mary Sanchez,Pediatrics,Admin,"(2, 7, 8, 11)","(001, 010, 110, 011)"
Lucas Nguyen,Orthopedics,Nurse,"(5, 8, 13, 14)","(011, 011, 011, 110)"
Olivia Miller,Cardiology,Nurse,"(1, 3, 5, 9, 13)","(101, 101, 010, 101, 010)"
Olivia Walker,Neurology,Doctor,"(1, 3, 5, 6, 8)","(110, 100, 011, 011, 001)"
Michael Lee,Gynecology,Nurse,"(1, 4, 9, 12)","(010, 110, 001, 011)"
Noah Wright,Emergency,Doctor,"(2, 5, 11, 12, 14)","(100, 010, 101, 101, 100)"
Alexander Rodriguez,Intensive Care Unit,Admin,"(1, 3, 13)","(100, 110, 011)"
Emma Smith,Intensive Care Unit,Doctor,"(2, 6, 7)","(010, 001, 100)"
William Johnson,Pediatrics,Nurse,"(11, 12, 14)","(100, 100, 100)"
Michael Hernandez,Pediatrics,Doctor,"(1, 8, 13, 14)","(101, 100, 100, 100)"
