EmployeeName,Department,Role,Day,Shift
Alexander Davis,Orthopedics,Nurse,"(12)","(010)"
Alexander Davis,Oncology,Nurse,"(2, 10, 11)","(010, 010, 001)"
Alexander Flores,Emergency,Nurse,"(13)","(010)"
Alexander Flores,Cardiology,Nurse,"(8, 12)","(001, 001)"
Alexander Flores,Neurology,Nurse,"(4, 9)","(100, 010)"
Alexander Flores,Gynecology,Nurse,"(6)","(001)"
Alexander Flores,Radiology,Nurse,"(7)","(001)"
Alexander Flores,Orthopedics,Nurse,"(1, 5, 11)","(010, 001, 100)"
Alexander Flores,Oncology,Nurse,"(3, 10)","(010, 010)"
Alexander King,Pediatrics,Doctor,"(7)","(100)"
Alexander King,Gynecology,Doctor,"(13, 14)","(010, 100)"
Alexander King,Radiology,Doctor,"(3, 10)","(010, 010)"
Alexander King,Orthopedics,Doctor,"(11)","(001)"
Alexander King,Oncology,Doctor,"(4, 5)","(001, 001)"
Alexander White,Emergency,Nurse,"(4)","(100)"
Alexander White,Cardiology,Nurse,"(5, 6, 11)","(010, 100, 001)"
Alexander White,Neurology,Nurse,"(14)","(001)"
Alexander White,Gynecology,Nurse,"(10)","(100)"
Alexander White,Psychiatry,Nurse,"(1, 7)","(010, 001)"
Alexander White,Orthopedics,Nurse,"(13)","(010)"
Alexander White,Oncology,Nurse,"(8)","(010)"
Alexander Wilson,Cardiology,Doctor,"(7)","(010)"
Alexander Wilson,Neurology,Doctor,"(4)","(010)"
Alexander Wilson,ICU,Doctor,"(10)","(001)"
Alexander Wilson,Radiology,Doctor,"(1, 12)","(001, 100)"
Alexander Wilson,Psychiatry,Doctor,"(3, 14)","(001, 001)"
Alexander Wilson,Orthopedics,Doctor,"(13)","(010)"
Alexander Wilson,Oncology,Doctor,"(5)","(100)"
Alexander Wright,Pediatrics,Nurse,"(3)","(100)"
Alexander Wright,Psychiatry,Nurse,"(2)","(100)"
Alexander Wright,Oncology,Nurse,"(4)","(100)"
Amelia Anderson,Emergency,Nurse,"(8, 13)","(001, 001)"
Amelia Anderson,Cardiology,Nurse,"(7)","(100)"
Amelia Anderson,Pediatrics,Nurse,"(2, 4)","(001, 100)"
Amelia Anderson,Psychiatry,Nurse,"(6)","(100)"
Amelia Anderson,Orthopedics,Nurse,"(5)","(100)"
Amelia Harris,Emergency,Admin,"(5)","(001)"
Amelia Harris,Cardiology,Admin,"(3, 10)","(001, 001)"
Amelia Harris,Pediatrics,Admin,"(4, 13)","(100, 010)"
Amelia Harris,Gynecology,Admin,"(7)","(001)"
Amelia Harris,Radiology,Admin,"(11)","(010)"
Amelia Harris,Psychiatry,Admin,"(2, 9)","(010, 001)"
Amelia Harris,Oncology,Admin,"(1)","(001)"
Amelia Hill,Emergency,Nurse,"(3, 7, 10)","(001, 100, 100)"
Amelia Hill,Neurology,Nurse,"(14)","(001)"
Amelia Hill,ICU,Nurse,"(5)","(010)"
Amelia Hill,Gynecology,Nurse,"(4)","(100)"
Amelia Hill,Radiology,Nurse,"(2, 8, 12)","(100, 100, 100)"
Amelia Hill,Psychiatry,Nurse,"(1)","(001)"
Amelia Hill,Oncology,Nurse,"(9, 11)","(001, 100)"
Amelia Lopez,Emergency,Doctor,"(7, 13)","(010, 001)"
Amelia Lopez,Neurology,Doctor,"(5)","(001)"
Amelia Lopez,ICU,Doctor,"(4, 8, 10)","(100, 010, 100)"
Amelia Lopez,Gynecology,Doctor,"(1)","(010)"
Amelia Lopez,Psychiatry,Doctor,"(3)","(010)"
Amelia Lopez,Orthopedics,Doctor,"(6)","(100)"
Amelia Perez,Neurology,Doctor,"(6)","(100)"
Amelia Perez,ICU,Doctor,"(2)","(010)"
Amelia Perez,Pediatrics,Doctor,"(4)","(100)"
Amelia Perez,Gynecology,Doctor,"(7, 13)","(100, 100)"
Amelia Perez,Psychiatry,Doctor,"(10)","(001)"
